"編號","名稱","類別","白話一句","公式或做法","所需輸入","免費可算","預測力證據出處","OSAP 訊號名","Karst 適用度"
"D05","Altman Z' 與 Z'' 變體","財務質素評分","原版 Z 分要有市值才算得到,未上市公司與非製造業公司要用改良版本。","Z' = 0.717·X1 + 0.847·X2 + 3.107·X3 + 0.420·X4 + 0.998·X5(X4 改用帳面股權對總負債),分界 2.90/1.23;Z'' = 3.25 + 6.56·X1 + 3.26·X2 + 6.72·X3 + 1.05·X4(剔除銷售對總資產),分界 5.85/4.35","損益表、資產負債表","可","Altman, Iwanicz-Drozdowska, Laitinen & Suvas (2017), Journal of International Financial Management & Accounting 28(2): 131–171, DOI 10.1111/jifm.12053——31 個歐洲加 3 個非歐洲國家的私人非金融企業;原版係數的預測準確率約 0.75,按國家重估並加入額外變數可升至 0.90 以上","—(OSAP 無)","低——與 D04 相同,屬預警用途"
"D06","Ohlson O 分","財務質素評分","1980 年以邏輯迴歸建立的破產機率模型,九個輸入,統計上比 Z 分嚴謹。","O = −1.32 − 0.407·規模 + 6.03·總負債對總資產 − 1.43·營運資金對總資產 + 0.076·流動負債對流動資產 − 1.72·資不抵債旗標 − 2.37·淨利對總資產 − 1.83·營運資金流對總負債 + 0.285·連續兩年虧損旗標 − 0.521·淨利變動比;機率 = exp(O)/(1+exp(O))","損益表、資產負債表","可","Ohlson (1980), Journal of Accounting Research 18(1): 109–131, DOI 10.2307/2490395——1970–1976,2,163 家(105 破產);回報方向見 Dichev (1998), Journal of Finance 53(3): 1131–1147——逐字「bankruptcy risk is not rewarded by higher returns」,高財困股回報反而低。⚠ 兩套複製結論相反:OSAP 全樣本 0.916%/月、t=4.22(顯著);Hou-Xue-Zhang 市值加權 −0.09%/月 (t=−0.48)(不顯著),即使限回 Dichev 原樣本亦只有 −0.6% (t=−2.05)","OScore","中——O 分在 OSAP 顯著而在 Hou-Xue-Zhang 不顯著,屬有爭議的一條;它同時是 C27 綜合分的一個組件,建議在該框架內使用而非單獨使用"
"D07","Zmijewski 分","財務質素評分","三個變數的簡化破產模型:是否賺錢、借了多少、周轉是否應付得來。","X = −4.3 − 4.5·(稅後淨利對總資產) + 5.7·(總負債對總資產) − 0.004·(流動資產對流動負債)","損益表、資產負債表","可","Zmijewski (1984), Journal of Accounting Research 22(Supplement): 59–82, DOI 10.2307/2490859;⚠ 係數只由二手來源核實,三位小數的正式值未核實,而且二手來源對流動性項的正負號有分歧——實作前必須核對原文","—(OSAP 無)","低——輸入最少的破產模型,但係數本身未經一手核實"
"D08","Shumway 危險模型","財務質素評分","改良的破產預測:不只看最新一年,而是用公司每一年的存活紀錄一併估計。","離散時間危險模型,混合會計與市場變數","損益表、資產負債表、市價","可","Shumway (2001), Journal of Business 74(1): 101–124, DOI 10.1086/209665——摘要逐字:「about half of the accounting ratios that have been used in previous models are not statistically significant」,而市值規模、過去股價回報與個別波幅三者與破產強烈相關;⚠ 完整變數表與準確率未核實","—(OSAP 無)","中——它的核心訊息(一半會計比率不顯著、市場變數才有用)本身就是一條對本目錄有效的裁決"
"D09","Campbell-Hilscher-Szilagyi 失敗機率","財務質素評分","最現代的財務困難模型,加入股價波幅與市值一併估計失敗機率。","動態邏輯迴歸,八個變數(平均淨利對市值計資產、總負債對市值計資產、平均超額回報、波幅、相對規模、現金對市值計資產、市帳率、股價)加常數 −9.079;分母用市值計資產(市值加總負債),平均項為幾何遞減十二個月加權,全部 5%/95% 縮尾","損益表、資產負債表、市價","可","Campbell, Hilscher & Szilagyi (2008), Journal of Finance 63(6): 2899–2939, DOI 10.1111/j.1540-6261.2008.01416.x——模型估計 1963–2003、組合檢定 1981–2003;最危險 1% 年化超額 −16.30%;多最安全十分位空最財困十分位年化超額 10.20% (t=1.90)、四因子 alpha 12.18% (t=3.45);⚠ 財困股波動與 beta 更高,所以風險調整令異象變大而非變小;⚠⚠ Hou-Xue-Zhang 複製幾乎消失:−0.39%/月 (t=−1.35),而且 1976–1980 該效應是強正的 +0.69%;OSAP 歸類為 Placebo(原文 t=1.41)","FailureProbability(屬 Placebo)","低——原文回報在 OSAP 與 Hou-Xue-Zhang 兩邊都不成立;但它是 C27 綜合分的組件之一"
"D10","Merton 距離違約","財務質素評分","把公司資產當成一項會浮動的資產,計算它還差多少個標準差就跌穿債務水平。愈接近愈危險。","以 Black-Scholes 反解資產價值與波幅;債務面值 = 流動負債 + 0.5 × 長期負債,期限一年","資產負債表、市價、波幅","可(簡化版只需市值、負債、股價波幅)","Merton (1974), Journal of Finance 29(2): 449–470;Bharath & Shumway (2008), Review of Financial Studies 21(3): 1339–1369, DOI 10.1093/rfs/hhn044——摘要逐字:簡化版預測子「performs slightly better in hazard models and out-of-sample forecasts than both the DD model and a reduced-form model with the same inputs」,結論是距離違約不是違約的充分統計量,但其函數形式有用;Campbell 等 (2008) 亦指距離違約對簡化式變數加不了多少解釋力;⚠ 簡化版公式的逐字形式未核實","—(OSAP 無)","低——兩篇原文都指出它加不了多少解釋力;與現有價格數據線接得上,但優先次序低"
"D11","Beneish M 分","財務質素評分","用八個比率判斷一間公司是否在粉飾帳目。分數高於門檻(−1.78)即屬可疑。這條公式當年曾被學生用來提早識破安然。","M = −4.840 + 0.920·應收帳天數指數 + 0.528·毛利率指數 + 0.404·資產品質指數 + 0.892·銷售增長指數 + 0.115·折舊率指數 − 0.172·管理費用指數 + 4.679·總應計對總資產 − 0.327·槓桿指數;門檻 −1.78(對應機率 0.0376)","損益表、資產負債表、現金流量表","可(八個比率全部在三張標準報表之內)","Beneish (1999), Financial Analysts Journal 55(5): 24–36, DOI 10.2469/faj.v55.n5.2296——1982–1992,74 家操縱者對 2,332 家對照;樣本內錯判 26% 操縱者、13.8% 非操縱者;回報證據 Beneish, Lee & Nichols (2013), FAJ 69(2): 57–82, DOI 10.2469/faj.v69.n2.1——樣本外 1993–2010(係數凍結在 1982–88),Fama-MacBeth 係數 −0.083 (t=−2.58),作者讀作極端十分位年化 8.3% 異常回報;四因子月 alpha 0.972%(年 11.7%,t 值未核實);約 25% 的年度對沖回報集中在其後四次業績公布前後各三日;與應計異象互補(同一迴歸內應計不顯著)。⚠ 坊間流傳的五變數簡化版在任何來源都找不到出處","—(OSAP 無)","高——輸入齊全、有樣本外證據、而且與應計異象互補(不是重複);首批建議"
"D12","Dechow 錯報 F 分","財務質素評分","專門預測「這間公司會否被迫重列財務報表」的模型。注意:與 Piotroski 的 F 分同名,但是完全不同的東西。","已發表版 Model 1:logit = −7.893 + 0.790·RSST 應計 + 2.518·應收變動 + 1.191·存貨變動 + 1.979·軟性資產比 + 0.171·現金銷售變動 − 0.932·資產回報率變動 + 1.029·發行旗標;F 分 = 機率 ÷ 0.0037。門檻:大於 1.00 高於正常、大於 1.85 顯著、大於 2.45 高","損益表、資產負債表、現金流量表","可(Model 1);Model 2 需附註(經營租賃、員工人數),Model 3 需市價","Dechow, Ge, Larson & Sloan (2011), Contemporary Accounting Research 28(1): 17–82, DOI 10.1111/j.1911-3846.2010.01041.x——498 個錯報公司年對 143,490 個非錯報;門檻的命中率與誤報率:大於 1.00 為 .686/.363、大於 1.85 為 .318/.10、大於 2.45 為 18.8%/5%。⚠⚠ 兩套係數在流通:免費 SSRN 工作稿的常數是 −6.789 且沒有軟性資產項、門檻 2.125,與已發表版不同——照免費 PDF 實作會靜靜砌錯模型","—(OSAP 無)","中——⚠ 命名與 D01 相撞(此分連續、以 1.0 為中心、愈高愈差;Piotroski F 分是 0–9 整數、愈高愈好),登記因子時必須用全名並在程式裡設護欄"
"D13","Montier C 分","財務質素評分","由業界人士建立的六條是非題造假偵測分數,比 M 分簡單。","六個二元訊號:淨利與營運現金流背馳擴大、應收帳天數上升、存貨天數上升、其他流動資產對收入上升、折舊相對總固定資產下降、總資產增長偏高","損益表、資產負債表、現金流量表","可","Montier (2008)「Cooking the books, or, more sailing under the black flag」, Société Générale Mind Matters(業界出處,非同行評審);⚠ 作者自報數字未核實;獨立檢驗(約翰內斯堡交易所 2002–2010)結論:C 分「insufficient as a stand-alone tool for detecting shortable stocks」","—(OSAP 無)","低——輸入簡單,但既無學術證據又有一份否定的獨立檢驗;列作候補"
"D14","Dechow-Dichev 應計質素","財務質素評分","觀察公司過去的應計項目最終有沒有變成真正的現金。經常估錯的公司,盈利質素偏低。","以營運資金應計對前期、當期、後期營運現金流迴歸(實務按二位 SIC 行業年度),取殘差的標準差","現金流量表、損益表","可(需要五年以上歷史)","Dechow & Dichev (2002), The Accounting Review 77(Supplement): 35–59, DOI 10.2308/accr.2002.77.s-1.35;⚠ 是否被市場定價有明確爭議:Francis, LaFond, Olsson & Schipper (2005), JAE 39(2): 295–327 認為是;Core, Guay & Verdi (2008), JAE 46(1): 2–22 逐字反駁「we find no evidence that AQ is a priced risk factor」——93,093 個公司年,應計質素因子平均溢價 0.23%/月(約 3%/年),與零無統計差異","—(OSAP 無)","低——需要五年以上歷史;⚠ 而且量度本身用到下一期的營運現金流,不作滯後處理即前視;溢價存在與否學術界有明確分歧"
"D15","Penman-Zhang Q 分(會計保守度)","財務質素評分","保守的會計政策(例如研發即時支銷)會壓低今日盈利、推高將來盈利;這個分數捕捉這種暫時性的盈利質素落差。","C 分 = 隱藏儲備 ÷ 淨營運資產,儲備只計三項:後進先出存貨儲備、資本化研發、資本化廣告;Q 分 = 0.5×(C 分變動) + 0.5×(C 分減行業中位數)","損益表、資產負債表","可(視乎免費來源有沒有研發與廣告開支)","Penman & Zhang (2002), The Accounting Review 77(2): 237–264, DOI 10.2308/accr.2002.77.2.237——紐交所/美交所非金融 1975–1997,組合形成年 1976–95;對沖回報第一年 9.03% 原始 / 8.95% 規模調整,剔除前視偏誤後 7.63%,月度再平衡等權 15.27%;⚠ 原文不報 t 值,顯著性用 5,000 次隨機分組模擬;數字取自 1999 工作稿","—(OSAP 無)","中——概念與 C32 研發對市值比同源(都在修正研發即時支銷造成的失真),但輸入較繁"
"D16","Novy-Marx 毛利率","財務質素評分","不用淨利,改用毛利除以總資產。因為毛利位於損益表最上方,尚未被折舊、研發、會計選擇污染,反而是最乾淨的盈利能力量度。","(收入 − 銷貨成本) ÷ 總資產;作者明言用資產不用股本,因為毛利是資產層的盈利量度、與槓桿無關","損益表、資產負債表","可(只需毛利與總資產兩項)","Novy-Marx (2013), Journal of Financial Economics 108(1): 1–28, DOI 10.1016/j.jfineco.2013.01.003——1963-07 至 2010-12,市值加權五分位、紐交所分界,高減低超額 0.31%/月 (t=2.49)、三因子 alpha 0.52%/月 (t=4.49);Fama-MacBeth 斜率 0.75 (t=5.49) 對對數帳面市值比 0.35 (t=5.98);與帳面市值比的橫斷面相關 −0.18;裁決性證據 Novy-Marx (2014)《Quality Investing》:七種質素定義之中「only gross profitability generates a significant excess return」,而且在全部六項對照迴歸中都存活(alpha 3.34–5.35, t=3.03–4.88);⚠ Hou-Xue-Zhang:除當期資產 0.37%/月 (t=2.63)、除滯後資產只有 0.17% (t=1.04),指毛利溢酬與投資溢酬混在一起;OSAP 全樣本 0.447%/月、t=4.19","GP","高——七種質素定義的頭對頭比賽中唯一勝出的一條,而且輸入最少;首批必做。⚠ 分母用當期還是滯後資產會改變結論,規格要寫死"
"D17","現金基礎營運獲利","財務質素評分","營業利潤扣除應計部分,只計算真正收到現金的一截。與 C08 應計訊號是一體兩面。","營業利潤 = 收入 − 銷貨成本 − (銷售及管理費用 − 研發);現金基礎版再減應收、存貨、預付變動,加遞延收入、應付、應計負債變動;全部除以上期總資產","損益表、資產負債表、現金流量表","可","Ball, Gerakos, Linnainmaa & Nikolaev (2016), Journal of Financial Economics 121(1): 28–45, DOI 10.1016/j.jfineco.2016.03.002——1963-07 至 2013-12,市值加權十分位、紐交所分界,高減低超額 0.474%/月 (t=3.16)、三因子 alpha 0.903%/月 (t=8.50);對照含應計的營業利潤 alpha 0.752 (t=5.99)、應計 −0.427 (t=−3.25);⚠ 對現金基礎營運獲利中性化後,應計策略的三因子 alpha 降至 −4 個基點 (t=−0.42),即它吸收了應計異象;夏普由四因子的 1.07 升至 1.7;Hou-Xue-Zhang Cop 0.63%/月 (t=3.44)、q 因子 alpha 0.69% (t=4.77),屬 q 模型解釋不了的 46 個異象之一;OSAP 全樣本 0.509%/月、t=3.53","CBOperProf","最高——原文即以市值加權十分位測出、現代複製通得過、而且吸收了應計異象(做了它就不必另做 C08);首批必做"
"D18","營運獲利對帳面權益(RMW 式)","財務質素評分","公司做生意本身賺到多少,相對股東投入的本金。這是 Fama-French 五因子模型中獲利能力的那一格。","(收入 − 銷貨成本 − 銷售及管理費用 − 利息費用) ÷ 帳面權益","損益表、資產負債表","可","Fama & French (2015), Journal of Financial Economics 116(1): 1–22, DOI 10.1016/j.jfineco.2014.10.010——1963-07 至 2013-12(606 個月);五因子模型解釋預期回報橫斷面變異的 71%–94%,但 GRS 檢定在所有設定下都拒絕該模型;加入獲利與投資後 HML 變成冗餘(其對其餘四因子的截距 −0.04% 至 0.02%,全部不顯著);⚠ Hou-Xue-Zhang 對其排序變數 Ope 複製不成立:0.27%/月 (t=1.34);OSAP 全樣本 0.462%/月、t=3.62","OperProf","中——以帳面權益為分母的版本現代複製不成立;要做獲利能力就做 D16 或 D17"
"D19","季度資產回報率","財務質素評分","公司運用手上的資產,一季賺到多少。","季度淨利 ÷ 上期總資產","損益表(季度)、資產負債表","可","Balakrishnan, Bartov & Faurel (2010), Journal of Accounting and Economics 50(1);OSAP 原文 0.842%/月 t=6.45,全樣本 1.231%/月、t=5.69","roaq","高——OSAP 全樣本量級屬質素類最大,而且季度化令訊號更新更快;首批建議"
"D20","股東權益回報率(ROE)","財務質素評分","公司運用股東的資金賺到多少回報。這是最多人談論的單一質素指標。","淨利 ÷ 帳面權益","損益表、資產負債表","可","Haugen & Baker (1996), Journal of Financial Economics 41(3): 401–439;OSAP 原文 t=4.50,全樣本 0.267%/月、t=2.72","RoE","中——OSAP 全樣本量級偏低,不及 D16、D17 與 D19;但它是 C27 綜合分的組件之一"
"D21","投入資本回報率(ROIC)","財務質素評分","公司運用股東與債主合共投入的資金賺到多少;比股東權益回報率較少受借貸多寡影響。","EBIT ÷ (淨營運資金 + 淨固定資產)","損益表、資產負債表","可","Brown & Rowe (2007) 工作論文;Novy-Marx (2014)《Quality Investing》表 2,1963-07 至 2013-12:多空超額回報 2.17%/年 (t=1.16,不顯著)、三因子 alpha 4.66% (t=2.78);表 3 對照迴歸中只在對盈利質素一項存活;⚠ OSAP 原文 0.14%/月 (t=0.90),歸類為 Placebo","roic(屬 Placebo)","低——直觀上合理,但單獨排序不顯著,而且大部分被毛利率吸收;是「常識不等於有效」的實例"
"D22","Asness 質素減垃圾(QMJ)","財務質素評分","把「質素」拆成三件事——賺得多、增長穩定、財務安全——各自打分再加總,買入高質素、沽出低質素。","質素 = 標準化(獲利能力 + 增長 + 安全性);獲利能力 = 標準化(毛利對資產、股東權益回報率、資產回報率、現金流對資產、毛利率、負應計);增長 = 上述五項的五年殘餘利潤增長;安全性 = 標準化(負 beta、負槓桿、負 O 分、正 Altman Z、負股東權益回報率波幅)","損益表、資產負債表、現金流量表、市價","可(組件多數在本目錄之內)","Asness, Frazzini & Pedersen (2019), Review of Accounting Studies 24(1): 34–112, DOI 10.1007/s11142-018-9470-2——美國 1957-06 至 2016-12;超額 0.29%/月 (t=3.62)、四因子 alpha 0.60%/月 (t=9.95)、年化夏普 0.47、資訊比率 1.40;全球(24 個已開發市場、54,616 隻股票)超額 0.38%/月 (t=3.33)、四因子 alpha 0.61% (t=8.07)、夏普 0.64;對五因子與六因子仍餘 16–38 個基點/月;⚠ 質素分數只解釋市帳率約 10% 的橫斷面變異,即「質素的價格」會隨時間變動,低價格預示未來高回報;OSAP 全表沒有 QMJ 訊號","—(OSAP 無)","高——本目錄多條質素因子的現成合成框架,而且與帳面市值比負相關(合成即「合理價格的質素」);建議在算齊組件之後按其三分法合成"
"D23","Greenblatt 魔法公式","財務質素評分","兩條數字就夠:一是這盤生意運用資產賺錢的能力是否夠強,二是現在買入是否便宜。兩項各自排名再相加,買入排在前列的一批。","EBIT ÷ (淨營運資金 + 淨固定資產) 與 EBIT ÷ 企業價值,兩項排名相加","損益表、資產負債表、市價","可","Greenblatt《The Little Book That Still Beats the Market》(2010, Wiley, ISBN 9780470624159),作者自報 1988–2004 年化 30.8% 對標普 12.4%(業界自報,非同行評審);⚠ 獨立檢驗方向不利:Davydov, Tikkanen & Äijö (2016) 芬蘭 1991–2013,魔法公式 19.26% 對市場 13.63%,但單靠 EBIT 對企業價值一個比率反而更高(20.57%),即質素那一半沒有加分;Blackburn & Cakici (2017) 全球 1991–2016:原版在全球失效,須改用毛利作盈利能力指標方有顯著異常回報;Hou-Xue-Zhang 的 452 個異象庫裡沒有魔法公式","—(OSAP 無)","中——極為著名、輸入齊全,但獨立檢驗一致指向「估值那一半才是動力、質素那一半宜換成毛利率」——即等同做 B10 配 D16"
"D24","Graham 防禦型準則與 Graham 數","財務質素評分","價值投資始祖的一套硬門檻:規模足夠大、財務足夠穩健、有連續派息紀錄、盈利有增長,而且不可以買得太貴。","七項準則:企業規模足夠、流動比率大於 2 且淨流動資產大於長期負債、連續十年正盈利、連續二十年不間斷派息、十年每股盈利增長至少三分之一、市盈率通常不超過 15、市帳率通常不超過 1.5。Graham 數 = √(22.5 × 每股盈利 × 每股帳面值),常數 22.5 = 15 × 1.5","損益表、資產負債表、市價","可(但準則三需十年盈利、準則四需二十年股息歷史)","Graham《The Intelligent Investor》(1973 修訂版)第 14 章 p.183;Oppenheimer (1984), Financial Analysts Journal 40(5): 68–74, DOI 10.2469/faj.v40.n5.68(⚠ 回報數字未核實);⚠ Novy-Marx (2014) 表 2:Graham 的 G 分多空超額回報 −0.08%/年 (t=−0.08),三因子 alpha 1.69% (t=1.93),而且在表 3 的全部六項對照迴歸中都被其他質素定義吸收(t=−0.28 至 1.60)","—(OSAP 無)","低——可化成是非型因子,但頭對頭比賽中它是被完全吸收的那一個;而且十年與二十年歷史要求,免費來源做不到"
"D25","Novy-Marx 質素定義比較","財務質素評分","這不是一條因子,而是一份裁決:把市面上七種「質素」定義放在一起比較,看哪幾種真正有效、哪幾種只是聽起來合理。","比較 Graham G 分、Grantham 質素、Greenblatt ROIC、Sloan 盈利質素、Piotroski F 分、防禦型(低 beta)、毛利率七種定義","損益表、資產負債表、市價","不適用(方法論比較)","Novy-Marx (2014)《Quality Investing》工作論文(2014-10-30),1963-07 至 2013-12。表 2 多空年化超額回報與三因子 alpha(方括號為 t 值):帳面價格比 3.49 [2.33] / −1.54 [−2.27];Graham G 分 −0.08 [−0.08] / 1.69 [1.93];Grantham 質素 −0.55 [−0.37] / 4.84 [4.90];ROIC 2.17 [1.16] / 4.66 [2.78];盈利質素 1.17 [0.99] / 2.13 [1.83];Piotroski F 分 2.24 [1.69] / 4.33 [3.57];防禦型 −1.55 [−0.52] / 3.45 [2.09];毛利率 2.70 [2.15] / 5.21 [4.65]。逐字結論:「Of the seven quality strategies only gross profitability generates a significant excess return… Three of the quality strategies, those based on Graham's and Grantham's notions of quality and the defensive strategy, actually generate negative spreads」","—(OSAP 無)","高——挑選質素因子之前必讀;它直接裁定了本目錄 D01、D21、D24 的優先次序,可避免把已知無效的定義排入首批"
"D26","Fama-French 投資因子(CMA)","財務質素評分","投資擴張較慢的公司,往後回報通常好過擴張較快的公司。與 C15 資產增長是同一件事的因子版本。","(t−2 至 t−1 財年總資產變動) ÷ t−2 總資產,保守減進取","資產負債表","可","Fama & French (2015), Journal of Financial Economics 116(1): 1–22, DOI 10.1016/j.jfineco.2014.10.010","AssetGrowth(同源)","中——與 C15 重複,建議只做 C15"
"D27","銀行 B 分","財務質素評分","F 分與 G 分都不適用於銀行,因為銀行的財務報表結構完全不同;這是一套專為銀行而設的十四項評分。","十四個訊號,各自在銀行規模三分組之內取相對排名並標準化至 0 至 1,加總得 0 至 14 分:股東權益回報率、資產回報率、息差、營運開支比率、非利息收入、盈利資產、貸款對存款、負撥備對貸款、負不良貸款對貸款、貸款損失準備對不良貸款、有形普通股權益對總資產、收入增長、貸款增長、交易資產增長","銀行專用會計科目、附註(不良貸款、準備明細、有形普通股權益、交易資產)","難(不良貸款與準備明細在附註,一般標準化報表沒有)","Mohanram, Saiy & Vyas (2018), Review of Accounting Studies 23(1): 200–233, DOI 10.1007/s11142-017-9430-2——1994–2014;十分位多空行業調整價差 9.90%(長倉 4.08% 加空倉 5.82%),1% 顯著;時序平均對沖 10.15% (t=4.08),除 2011 與 2013 外年年為正;三因子 alpha 0.921%/月(年 11.63%, t=3.70)、四因子 0.780%(年 9.77%, t=3.18)、五因子 0.618%(年 7.67%, t=2.40);按規模:細 12.51%、中 9.49%、大 7.13%;⚠ 同一銀行樣本上 Piotroski F 分只得 7.9% (t=2.17),Mohanram G 分完全無效 0.4% (t=0.19)","—(OSAP 無)","中——它證明了一件對 Karst 直接相關的事:通用質素評分在銀行股上失效,金融板塊要麼另設評分要麼剔除。但輸入需要附註明細,免費來源做不到,現階段的可行做法是「金融板塊不參與質素因子」"
"D28","Taffler Z 分","財務質素評分","英國版的破產預測公式,四個比率;負數即屬危險。","Z = 2.18·X1 + 2.50·X2 − 10.68·X3 + 0.0289·X4;X1 稅前利潤對平均流動負債、X2 流動資產對總負債、X3 流動負債對總資產、X4 無信貸周轉期。負數為財困、正數為穩健","損益表、資產負債表","可(X4 需現金與日均營運開支)","Taffler (1983), Accounting and Business Research 13(52): 295–308, DOI 10.1080/00014788.1983.9729767;⚠ 公式由二手開放來源核實,1982 與 1983 的歸屬有歧義;沒有橫斷面回報證據","—(OSAP 無)","低——與 D04、D06 同族但無回報證據;列作完整性用"
